season,match_id,stage,original_date,reason,source_url
2018,508305,regular,2018-07-29T00:00Z,Uncompleted postponed record; excluded to avoid duplicate counting.,https://www.espn.com/soccer/match/_/gameId/508305
2018,526949,semifinals,2018-09-16T19:00Z,Uncompleted postponed record; excluded to avoid duplicate counting.,https://www.espn.com/soccer/match/_/gameId/526949
